tick,adc
177205,3753
177206,3775
177207,3779
177208,3776
177209,3779
177210,3781
177211,3778
177212,3780
177213,3774
177214,3783
177215,3778
177216,3779
177217,3765
177218,3775
177219,3775
177220,3776
177221,3774
177222,3778
177223,3779
177224,3780
177225,3781
177226,3779
177227,3777
177228,3775
177229,3781
177230,3779
177231,3779
177232,3782
177233,3779
177234,3778
177235,3779
177236,3775
177237,3779
177238,3775
177239,3778
177240,3782
177241,3779
177242,3775
177243,3775
177244,3780
177245,3779
177246,3775
177247,3775
177248,3780
177249,3779
177250,3775
177251,3775
177252,3773
177253,3779
177254,3782
177255,3779
177256,3775
177257,3779
177258,3782
177259,3775
177260,3771
177261,3777
177262,3779
177263,3771
177264,3779
177265,3779
177266,3778
177267,3777
177268,3781
177269,3775
177270,3781
177271,3775
177272,3778
177273,3783
177274,3778
177275,3777
177276,3779
177277,3779
177278,3781
177279,3773
177280,3775
177281,3779
177282,3779
177283,3775
177284,3778
177285,3778
177286,3775
177287,3774
177288,3774
177289,3777
177290,3775
177291,3777
177292,3779
177293,3779
177294,3778
177295,3778
177296,3778
177297,3778
177298,3775
177299,3777
177300,3782
177301,3775
177302,3775
177303,3777
177304,3775
177305,3771
177306,3781
177307,3777
177308,3763
177309,3779
177310,3779
177311,3779
177312,3778
177313,3779
177314,3781
177315,3778
177316,3778
177317,3781
177318,3778
177319,3777
177320,3774
177321,3778
177322,3778
177323,3775
177324,3780
177325,3778
177326,3779
177327,3781
177328,3778
177329,3786
177330,3775
177331,3774
177332,3774
177333,3776
177334,3777
177335,3767
177336,3775
177337,3785
177338,3778
177339,3777
177340,3782
177341,3781
177342,3778
177343,3781
177344,3775
177345,3781
177346,3779
177347,3773
177349,3774
177350,3777
177351,3779
177352,3770
177353,3780
177354,3775
177355,3779
177356,3777
177357,3776
177358,3775
177359,3775
177360,3775
177361,3777
177362,3779
177363,3775
177364,3779
177365,3780
177366,3777
177367,3778
177368,3771
177369,3777
177370,3779
177371,3775
177372,3768
177373,3779
177374,3779
177375,3779
177376,3779
177377,3782
177378,3775
177379,3779
177380,3777
177381,3778
177382,3775
177383,3781
177384,3775
177385,3775
177386,3775
177387,3783
177388,3778
177389,3782
177390,3779
177391,3775
177392,3775
177393,3778
177394,3779
177395,3779
177396,3777
177397,3778
177398,3777
177399,3778
177400,3774
177401,3775
177402,3783
177403,3775
177404,3775
177405,3775
177406,3775
177407,3775
177408,3785
177409,3775
177410,3775
177411,3779
177412,3779
177413,3779
177414,3777
177415,3783
177416,3775
177417,3775
177418,3786
177419,3778
177420,3777
177421,3775
177422,3775
177423,3781
177424,3771
177425,3775
177426,3779
177427,3779
177428,3778
177429,3778
177430,3781
177431,3779
177432,3777
177433,3775
177434,3779
177435,3775
177436,3778
177437,3769
177438,3775
177439,3779
177440,3777
177441,3775
177442,3775
177443,3775
177444,3774
177445,3778
177446,3780
177447,3775
177448,3778
177449,3778
177450,3776
177451,3775
177452,3778
177453,3779
177454,3782
177455,3782
177456,3775
177457,3774
177458,3780
177459,3777
177460,3777
177461,3778
177462,3781
177463,3777
177464,3779
177465,3774
177466,3779
177467,3779
177468,3775
177469,3774
