tick,adc
125127,193
125128,191
125129,193
125130,196
125131,193
125132,196
125133,191
125134,194
125135,188
125136,195
125137,191
125138,196
125139,193
125140,198
125141,197
125142,200
125143,198
125144,192
125145,193
125146,194
125147,192
125148,201
125149,195
125150,195
125151,193
125152,192
125153,197
125154,194
125155,195
125156,195
125157,194
125158,193
125159,196
125160,199
125161,194
125162,192
125163,188
125164,195
125165,202
125166,189
125167,192
125168,189
125169,195
125170,192
125171,197
125172,192
125173,193
125174,192
125175,190
125176,191
125177,193
125178,193
125179,190
125180,196
125181,192
125182,195
125183,192
125184,190
125185,195
125186,189
125187,195
125188,193
125189,195
125190,195
125191,196
125192,194
125193,193
125194,196
125195,192
125196,194
125197,198
125198,199
125199,196
125200,192
125201,194
125202,196
125203,195
125204,192
125205,192
125206,191
125207,188
125208,192
125209,204
125210,195
125211,192
125212,196
125213,194
125214,192
125215,192
125216,191
125217,194
125218,194
125219,206
125220,193
125221,196
125222,194
125223,190
125224,193
125225,197
125226,194
125227,190
125228,196
125229,187
125230,192
125231,199
125232,194
125233,191
125234,196
125235,197
125236,198
125237,193
125238,193
125239,196
125240,198
125241,194
125242,201
125243,189
125244,190
125245,196
125246,192
125247,191
125248,193
125249,193
125250,192
125251,194
125252,202
125253,199
125254,196
125255,196
125256,194
125257,202
125258,196
125259,194
125260,193
125261,190
125262,190
125263,196
125264,199
125265,194
125266,193
125267,197
125268,192
125269,200
125270,198
125271,188
125272,194
125273,189
125274,193
125275,196
125276,198
125277,196
125278,190
125279,192
125280,195
125281,195
125282,196
125283,194
125284,198
125285,192
125286,197
125287,193
125288,197
125289,198
125290,193
125291,193
125292,196
125293,195
125294,188
125295,192
125296,193
125297,188
125298,194
125299,193
125300,190
125301,192
125302,197
125303,193
125304,194
125305,197
125306,190
125307,188
125308,196
125309,191
125310,202
125311,192
125312,190
125313,193
125314,196
125315,194
125316,193
125317,193
125318,193
125319,195
125320,196
125321,199
125322,193
125323,190
125324,195
125325,193
125326,202
125327,192
125328,192
125329,190
125330,198
125331,194
125332,196
125333,192
125334,188
125335,203
125336,191
125337,193
125338,189
125339,198
125340,198
125341,194
125342,190
125343,193
125344,193
125345,194
125346,192
125347,196
125348,199
125349,193
125350,196
125351,194
125352,199
125353,195
125354,193
125355,194
125356,194
125357,191
125358,193
125359,196
125360,191
125361,192
125362,198
125363,194
125364,195
125365,191
125366,196
125367,193
125368,196
125369,193
125370,195
125371,193
125372,186
125373,201
125374,193
125375,196
125376,187
125377,193
125378,196
125379,192
125380,192
125381,196
125382,192
125383,196
125384,195
125385,195
125386,194
125387,197
125388,190
125389,198
125390,195
125391,196
125392,198
125393,195
125394,195
125395,186
125396,197
125397,190
125398,191
125399,191
125400,197
125401,193
125402,192
125403,193
125404,193
125405,193
125406,193
125407,196
125408,196
125409,196
125410,192
125411,197
125412,197
125413,188
125414,195
125415,196
125416,194
125417,190
125418,194
125419,196
125420,193
125421,194
125422,190
125423,198
125424,188
125425,199
125426,193
125427,193
125428,195
125429,198
125430,204
125431,191
125432,196
125433,196
125434,201
125435,194
125436,193
125437,193
125438,190
125439,200
125440,196
125441,192
125442,190
125443,193
125444,194
125445,191
125446,202
125447,196
125448,194
125449,192
125450,193
125451,197
125452,190
125453,193
125454,193
125455,190
125456,196
125457,196
125458,193
125459,197
125460,193
125461,196
125462,195
125463,198
125464,195
125465,196
125466,191
125467,196
125468,202
125469,196
125470,189
125471,190
125472,196
125473,202
125474,198
125475,196
125476,196
125477,188
125478,193
125479,196
125480,193
125481,192
125482,193
125483,196
125484,196
125485,194
125486,194
125487,195
125488,192
125489,194
125490,194
