tick,adc
130834,209
130835,206
130836,206
130838,206
130839,209
130840,207
130841,205
130842,205
130843,208
130844,206
130845,203
130846,209
130847,209
130848,212
130849,209
130850,209
130851,206
130852,199
130853,207
130854,207
130855,208
130856,211
130857,208
130858,204
130859,202
130860,207
130861,206
130862,210
130863,203
130864,200
130865,207
130866,208
130867,202
130868,205
130869,206
130870,205
130871,211
130872,206
130873,206
130874,210
130875,204
130876,205
130877,205
130878,211
130879,207
130880,201
130881,207
130882,214
130883,205
130884,202
130885,206
130886,206
130887,200
130888,213
130889,210
130890,205
130891,205
130892,204
130893,207
130894,208
130895,203
130896,204
130897,210
130898,203
130899,209
130900,209
130901,207
130903,207
130904,206
130905,213
130906,205
130907,207
130908,205
130909,205
130910,206
130911,210
130912,210
130913,206
130914,205
130915,202
130916,205
130917,204
130918,211
130919,208
130920,210
130921,208
130922,209
130923,211
130924,207
130925,208
130926,209
130927,215
130928,203
130929,211
130930,206
130931,200
130932,204
130933,207
130934,210
130935,205
130936,210
130937,207
130938,209
130939,203
130940,209
130941,207
130942,203
130943,208
130944,202
130945,208
130946,210
130947,208
130948,204
130949,212
130950,200
130951,203
130952,211
130953,203
130954,210
130955,208
130956,200
130957,211
130958,208
130959,208
130960,212
130961,204
130962,203
130963,207
130964,205
130965,203
130966,209
130968,203
130969,205
130970,208
130971,206
130972,202
130973,209
130974,213
130975,210
130976,203
130977,205
130978,206
130979,212
130980,205
130981,208
130982,204
130983,208
130984,204
130985,203
130986,203
130987,210
130988,205
130989,204
130990,211
130991,208
130992,206
130993,212
130994,206
130995,208
130996,203
130997,213
130998,202
130999,205
131000,210
131001,212
131002,202
131003,208
131004,206
131005,204
131006,205
131007,199
131008,209
131009,205
131010,205
131011,210
131012,210
131013,208
131014,201
131015,204
131016,206
131017,204
131018,207
131019,209
131020,204
131021,210
131022,206
131023,207
131024,203
131025,208
131026,213
131027,208
131028,193
131029,206
131030,206
131031,207
131033,206
131034,205
131035,213
131036,203
131037,206
131038,236
131039,208
131040,208
131041,209
131042,208
131043,208
131044,207
131045,202
131046,206
131047,209
131048,208
131049,198
131050,211
131051,207
131052,203
131053,205
131054,208
131055,207
131056,211
131057,211
131058,203
131059,206
131060,205
131061,211
131062,204
131063,204
131064,200
131065,208
131066,200
131067,212
131068,200
131069,202
131070,204
131071,207
131072,210
131073,211
131074,208
131075,207
131076,204
131077,206
131078,207
131079,214
131080,208
131081,205
131082,206
131083,201
131084,203
131085,203
131086,203
131087,212
131088,216
131089,211
131090,208
131091,207
131092,201
131093,207
131094,206
131095,205
131096,204
131098,199
131099,201
131100,206
131101,208
131102,211
131103,205
131104,208
131105,200
131106,208
131107,206
131108,206
131109,198
131110,205
131111,208
131112,201
131113,208
131114,204
131115,205
131116,204
131117,199
131118,204
131119,209
131120,208
131121,208
131122,204
131123,215
131124,209
131125,205
131126,203
131127,204
131128,213
131129,202
131130,205
131131,209
131132,208
131133,208
131134,210
131135,210
131136,210
131137,205
131138,212
131139,177
131140,206
131141,205
131142,203
131143,203
131144,200
131145,212
131146,205
131147,206
131148,209
131149,206
131150,207
131151,208
131152,209
131153,205
131154,205
131155,204
131156,212
131157,203
131158,202
131159,207
131160,208
131161,208
131163,203
131164,207
131165,207
131166,207
131167,208
131168,210
131169,208
131170,209
131171,205
131172,209
131173,210
131174,206
131175,207
131176,206
131177,200
131178,202
131179,206
131180,206
131181,208
131182,199
131183,206
131184,206
131185,209
131186,206
131187,210
131188,205
131189,210
131190,213
131191,218
131192,219
131193,223
131194,229
131195,226
131196,236
131197,237
131198,245
131199,252
131200,250
131201,256
131202,265
131203,270
131204,270
131205,273
131206,281
131207,288
131208,296
131209,297
131210,307
131211,310
131212,318
131213,325
131214,329
131215,329
131216,339
131217,347
131218,355
131219,359
131220,364
131221,368
131222,375
131223,389
131224,394
131225,395
131226,409
131228,418
131229,425
131230,430
131231,437
131232,443
131233,449
131234,455
131235,467
131236,473
131237,470
131238,486
131239,496
131240,497
131241,500
131242,498
131243,514
131244,517
131245,521
131246,537
131247,508
131248,548
131249,552
131250,565
131251,570
131252,575
131253,585
131254,592
131255,597
131256,600
131257,617
131258,618
131259,624
131260,628
131261,639
131262,649
131263,656
131264,662
131265,674
131266,678
131267,666
131268,697
131269,702
131270,710
131271,723
131272,725
131273,732
131274,756
131275,750
131276,755
131277,762
131278,785
131279,785
131280,787
131281,793
131282,801
131283,809
131284,815
131285,827
131286,841
131287,840
131288,845
131289,864
131290,863
131291,873
131293,880
131294,890
131295,892
131296,905
131297,913
131298,924
131299,919
131300,928
131301,934
131302,943
131303,945
131304,960
131305,974
131306,974
131307,974
131308,990
131309,972
131310,996
131311,1008
131312,1021
131313,1030
131314,1040
131315,1049
131316,1047
131317,1078
131318,1060
131319,1072
131320,1081
131321,1089
131322,1099
131323,1105
131324,1117
131325,1121
131326,1135
131327,1144
131328,1146
131329,1158
131330,1163
131331,1174
131332,1185
131333,1190
131334,1186
131335,1204
131336,1215
131337,1224
131338,1230
131339,1246
131340,1251
131341,1253
131342,1266
131343,1269
131344,1250
131345,1291
131346,1298
131347,1308
131348,1310
131349,1322
131350,1327
131351,1335
131352,1343
131353,1349
131354,1365
131355,1365
131356,1374
131357,1383
131358,1395
131359,1397
131360,1406
131361,1417
131362,1390
131363,1447
131364,1442
131365,1451
131366,1460
131367,1463
131368,1471
131369,1444
131370,1485
131371,1492
131372,1503
131373,1508
131374,1513
131375,1517
131376,1528
131377,1538
131378,1545
131379,1537
131380,1569
131381,1558
131382,1573
131383,1577
131384,1586
131385,1597
131386,1597
131387,1608
131388,1615
131389,1629
131390,1633
131391,1643
131392,1648
131393,1655
131394,1672
131395,1670
131396,1676
131397,1686
131398,1697
131399,1697
131400,1711
131401,1719
131402,1723
131403,1735
131404,1737
131405,1741
131406,1761
131407,1767
131408,1767
131409,1784
131410,1793
131411,1797
131412,1801
131413,1806
131414,1814
131415,1827
131416,1839
131417,1840
131418,1859
131419,1858
131420,1869
131421,1871
131422,1878
131423,1887
131424,1897
131425,1899
131426,1914
131427,1883
131428,1908
131429,1931
131430,1941
131431,1949
131432,1954
131433,1968
131434,1957
131435,1979
131436,2008
131437,1995
131438,2003
131439,2007
131440,2012
131441,2021
131442,2030
131443,2043
131444,2042
131445,2053
131446,2064
131447,2066
131448,2069
131449,2085
131450,2089
131451,2099
131452,2109
131453,2123
131454,2126
131455,2133
131456,2141
131457,2146
131458,2160
131459,2169
131460,2182
131461,2178
131462,2182
131463,2161
131464,2201
131465,2211
131466,2216
131467,2227
131468,2238
131469,2247
131470,2256
131471,2263
131472,2269
131473,2273
131474,2283
131475,2295
131476,2296
131477,2303
131478,2316
131479,2319
131480,2335
131481,2337
131482,2344
131483,2353
131484,2357
131485,2367
131486,2361
131487,2379
131488,2395
131489,2399
131490,2380
131491,2417
131492,2425
131493,2435
131494,2447
131495,2450
131496,2458
131497,2469
131498,2477
131499,2485
131500,2487
131501,2497
131502,2510
131503,2515
131504,2520
131505,2543
131506,2518
131507,2525
131508,2557
131509,2565
131510,2572
131511,2571
131512,2580
131513,2586
131514,2596
131515,2599
131516,2613
131517,2615
131518,2620
131519,2631
131520,2644
131521,2645
131522,2658
131523,2665
131524,2674
131525,2680
131526,2684
131527,2693
131528,2693
131529,2702
131530,2709
131531,2715
131532,2719
131533,2729
131534,2737
131535,2765
131536,2755
131537,2763
131538,2772
131539,2779
131540,2784
131541,2791
131542,2796
131543,2811
131544,2813
131545,2825
131546,2836
131547,2841
131548,2845
131549,2855
131550,2857
131551,2867
131552,2873
131553,2853
131554,2895
131555,2901
131556,2911
131557,2914
131558,2929
131559,2929
131560,2938
131561,2944
131562,2932
131563,2944
131564,2969
131565,2971
131566,2989
131567,2995
131568,3001
131569,3007
131570,3012
131571,3031
131572,3035
131573,3039
131574,3050
131575,3063
131576,3065
131577,3069
131578,3084
131579,3091
131580,3099
131581,3105
131582,3108
131583,3125
131584,3131
131585,3135
131586,3142
131587,3158
131588,3159
131589,3162
131590,3175
131591,3184
131592,3189
131593,3198
131594,3205
131595,3211
131596,3217
131597,3219
131598,3214
131599,3243
131600,3243
131601,3256
131602,3263
131603,3271
131604,3281
131605,3303
131606,3300
131607,3303
131608,3311
131609,3321
131610,3330
131611,3333
131612,3347
131613,3353
131614,3360
131615,3375
131616,3375
131617,3383
131618,3390
131619,3401
131620,3408
131621,3413
131622,3416
131623,3435
131624,3443
131625,3452
131626,3439
131627,3469
131628,3473
131629,3478
131630,3489
131631,3495
131632,3507
131633,3513
131634,3519
131635,3531
131636,3541
131637,3546
131638,3555
131639,3568
131640,3572
131641,3577
131642,3587
131643,3592
131644,3611
131645,3615
131646,3619
131647,3638
131648,3638
131649,3649
131650,3658
131651,3672
131652,3676
131653,3681
131654,3697
131655,3709
131656,3713
131657,3718
131658,3723
131659,3737
131660,3739
131661,3747
131662,3757
131663,3773
131664,3779
131665,3781
131666,3788
131667,3804
131668,3810
131669,3821
131670,3824
131671,3840
131672,3846
131673,3857
131674,3862
131675,3870
131676,3879
131677,3883
131678,3893
131679,3906
131680,3913
131681,3920
131682,3916
131683,3934
131684,3938
131685,3945
131686,3952
131687,3949
131688,3970
131690,3973
131691,3979
131692,3993
