tick,adc
87358,253
87359,258
87360,257
87361,264
87362,256
87363,260
87364,252
87365,262
87366,255
87367,256
87368,253
87369,255
87370,257
87371,262
87372,255
87373,258
87374,260
87375,256
87376,257
87377,255
87378,256
87379,256
87380,258
87381,256
87382,254
87383,261
87384,260
87385,258
87386,244
87387,259
87388,258
87389,257
87390,260
87391,265
87392,254
87393,258
87394,254
87395,254
87396,260
87397,253
87398,254
87399,261
87400,257
87401,260
87402,257
87403,256
87404,258
87405,264
87406,254
87407,259
87408,258
87409,256
87410,258
87411,257
87412,258
87413,259
87414,256
87415,254
87416,260
87417,262
87418,256
87419,258
87420,256
87421,259
87422,258
87423,262
87424,260
87425,258
87426,259
87427,259
87428,260
87429,260
87430,254
87431,255
87432,257
87433,254
87434,254
87435,255
87436,236
87437,259
87438,257
87439,262
87440,257
87441,256
87442,255
87443,257
87444,254
87445,254
87446,255
87447,254
87448,255
87449,258
87450,259
87451,260
87452,254
87453,260
87454,264
87455,255
87456,256
87457,257
87458,253
87459,257
87460,256
87461,254
87462,258
87463,258
87464,257
87465,255
87466,259
87467,259
87468,263
87469,246
87470,254
87471,258
87472,259
87473,257
87474,251
87475,257
87476,259
87477,260
87478,256
87479,257
87480,252
87481,253
87482,260
87483,253
87484,261
87485,260
87486,254
87487,254
87488,255
87489,256
87490,260
87491,260
87492,256
87493,254
87494,257
87495,254
87496,254
87497,244
87498,255
87499,258
87500,251
87501,254
87502,256
87503,255
87504,254
87505,252
87506,256
87507,263
87508,259
87509,259
87510,254
87511,258
87512,259
87513,256
87514,258
87515,261
87516,255
87517,258
87518,261
87519,253
87520,257
87521,257
87522,259
87523,263
87524,257
87525,254
87526,258
87527,267
87528,259
87529,258
87530,251
87531,256
87532,259
87533,258
87534,256
87535,256
87536,256
87537,259
87538,256
87539,260
87540,256
87541,252
87542,256
87543,256
87544,253
87545,257
87546,255
87547,256
87548,257
87549,252
87550,257
87551,249
87552,254
87553,257
87554,264
87555,258
87556,256
87557,259
87558,257
87559,260
87560,252
87561,256
87562,257
87563,254
87564,258
87565,259
87566,256
87567,259
87568,257
87569,255
87570,256
87571,256
87572,264
87573,255
87574,253
87575,258
87576,251
87577,259
87578,256
87579,256
87580,257
87581,259
87582,257
87583,261
87584,259
87585,260
87586,246
87587,254
87588,256
87589,253
87590,257
87591,261
87592,259
87593,256
87594,257
87595,261
87596,254
87597,257
87598,256
87599,258
87600,256
87601,254
87602,257
87603,261
87604,261
87605,251
87606,257
87607,258
87608,255
87609,258
87610,263
87611,257
87612,259
87613,257
87614,255
87615,256
87616,259
87617,257
87618,258
87619,255
87620,257
87621,263
87622,257
87623,259
87624,257
87625,256
87626,256
87627,261
87628,251
87629,257
87630,257
87631,253
87632,254
87633,257
87634,256
87635,259
87636,263
87637,256
87638,258
87639,257
87640,255
87641,254
87642,257
87643,255
87644,259
87645,256
87646,253
87647,252
87648,256
87649,258
87650,262
87651,258
87652,259
87653,258
87654,259
87655,254
87656,256
87657,256
87658,252
87659,257
87660,258
87661,258
87662,257
87663,256
87664,256
87665,253
87666,256
87667,259
87668,210
87669,256
87670,257
87671,259
87672,253
87673,259
87674,256
87675,253
87676,257
87677,257
87678,268
87679,261
87680,264
87681,259
87682,252
87683,256
87684,263
87685,255
87686,263
87687,257
87688,258
87689,256
87690,259
87691,256
87692,255
87693,256
87694,251
87695,257
87696,258
87697,256
87698,250
87699,258
87700,262
87701,258
87702,257
87703,253
87704,255
87705,261
87706,257
87707,254
87708,258
87709,262
87710,259
87711,257
87712,259
87713,257
87714,255
87715,254
87716,257
87717,260
87718,256
87719,266
87720,256
87721,257
87722,258
87723,257
87724,253
87725,255
87726,263
87727,258
87728,257
87729,259
87730,253
87731,253
87732,256
87733,260
87734,256
87735,255
87736,259
87737,256
87738,260
87739,258
87740,258
87741,256
87742,255
87743,254
87744,253
87745,259
87746,255
87747,255
87748,262
87749,257
87750,263
87751,256
87752,256
87753,255
87754,256
87755,259
87756,252
87757,258
87758,260
87759,258
87760,234
87761,256
87762,258
87763,254
87764,260
87765,257
87766,256
87767,258
87768,257
87769,261
87770,256
87771,257
87772,256
87773,250
87774,259
87775,256
87776,251
87777,250
87778,256
87779,258
87780,253
87781,257
87782,260
87783,256
87784,255
87785,256
87786,264
87787,252
87788,257
87789,261
87790,257
87791,269
87792,256
87793,251
87794,258
87795,252
87796,263
87797,255
87798,257
87799,251
87800,254
87801,261
87802,256
87803,257
87804,259
87805,256
87806,256
87807,257
87808,245
87809,260
87810,252
87811,256
87812,258
87813,261
87814,256
87815,260
87816,266
87817,254
87818,256
87819,252
87820,253
87821,254
87822,257
87823,259
87824,258
87825,256
87826,257
87827,256
87828,265
87829,253
87830,253
87831,258
87832,251
87833,256
87834,238
87835,252
87836,256
87837,259
87838,256
87839,254
87840,253
87841,258
87842,254
87843,256
87844,251
87845,256
87846,257
87847,260
87848,260
87849,258
87850,262
87851,260
87852,254
87853,256
87854,257
87855,258
87856,255
87857,258
87858,260
87859,254
87860,256
87861,262
87862,253
87863,255
87864,264
87865,256
87866,254
87867,253
87868,258
87869,260
87870,256
87871,259
87872,260
87873,259
87874,257
87875,255
87876,259
87877,258
87878,256
87879,258
87880,255
87881,259
87882,258
87883,258
87884,260
87885,259
87886,263
87887,263
87888,262
87889,266
87890,280
87891,278
87892,281
87893,284
87894,285
87895,293
87896,302
87897,304
87898,313
87899,318
87900,319
87901,329
87902,333
87903,341
87904,343
87905,352
87906,358
87907,364
87908,359
87909,375
87910,388
87911,398
87912,403
87913,410
87914,418
87915,426
87916,437
87917,434
87918,431
87919,452
87920,456
87921,464
87922,472
87923,480
87924,488
87925,492
87926,498
87927,506
87928,508
87929,520
87930,529
87931,531
87932,540
87933,546
87934,548
87935,559
87936,567
87937,570
87938,579
87939,588
87940,592
87941,598
87942,601
87943,606
87944,621
87945,625
87946,633
87947,643
87948,645
87949,653
87950,664
87951,669
87952,677
87953,684
87954,692
87955,702
87956,705
87957,718
87958,740
87959,735
87960,737
87961,743
87962,762
87963,790
87964,770
87965,780
87966,786
87967,791
87968,799
87969,807
87970,809
87971,821
87972,825
87973,836
87974,841
87975,849
87976,860
87977,877
87978,889
87979,883
87980,888
87981,895
87982,906
87983,918
87984,917
87985,924
87986,935
87987,934
87988,948
87989,952
87990,959
87991,970
87992,976
87993,980
87994,988
87995,998
87996,977
87997,1013
87998,1023
87999,1024
88000,1036
88001,1037
88002,1044
88003,1060
88004,1058
88005,1072
88006,1081
88007,1081
88008,1092
88009,1096
88010,1105
88011,1111
88012,1121
88013,1128
88014,1131
88015,1141
88016,1153
88017,1158
88018,1182
88019,1163
88020,1180
88021,1189
88022,1204
88023,1203
88024,1216
88025,1220
88026,1229
88027,1233
88028,1239
88029,1252
88030,1254
88031,1264
88032,1274
88033,1286
88034,1282
88035,1298
88036,1303
88037,1312
88038,1317
88039,1325
88040,1331
88041,1338
88042,1345
88043,1353
88044,1353
88045,1367
88046,1378
88047,1384
88048,1390
88049,1405
88050,1413
88051,1410
88052,1422
88053,1428
88054,1436
88055,1428
88056,1448
88057,1464
88058,1461
88059,1468
88060,1474
88061,1482
88062,1491
88063,1493
88064,1521
88065,1511
88066,1486
88067,1523
88068,1531
88069,1532
88070,1543
88071,1544
88072,1554
88073,1564
88074,1563
88075,1576
88076,1586
88077,1582
88078,1598
88079,1605
88080,1613
88081,1620
88082,1633
88083,1631
88084,1643
88085,1643
88086,1652
88087,1662
88088,1672
88089,1677
88090,1684
88091,1689
88092,1695
88093,1702
88094,1714
88095,1722
88096,1728
88097,1731
88098,1740
88099,1747
88100,1755
88101,1759
88102,1736
88103,1772
88104,1793
88105,1813
88106,1801
88107,1804
88108,1808
88109,1815
88110,1817
88111,1830
88112,1834
88113,1831
88114,1864
88115,1857
88116,1885
88117,1872
88118,1878
88119,1889
88120,1897
