tick,adc
116994,199
116995,197
116996,197
116997,194
116998,203
116999,201
117000,197
117001,188
117002,196
117003,196
117004,196
117005,199
117006,197
117007,198
117008,196
117009,194
117010,194
117011,199
117012,196
117013,196
117014,195
117015,198
117016,201
117017,198
117018,202
117019,200
117020,191
117021,195
117022,198
117023,197
117024,190
117025,199
117026,198
117027,199
117028,200
117029,198
117030,196
117031,196
117032,197
117033,199
117034,198
117035,200
117036,201
117037,206
117038,196
117039,192
117040,197
117041,195
117042,195
117043,200
117044,191
117045,194
117046,197
117047,198
117048,193
117049,201
117050,191
117051,197
117052,154
117053,198
117054,197
117055,198
117056,197
117057,196
117058,196
117059,195
117060,200
117061,196
117062,197
117063,222
117064,196
117065,195
117066,196
117067,195
117068,197
117069,199
117070,202
117071,196
117072,196
117073,198
117074,197
117075,198
117076,200
117077,198
117078,197
117079,200
117080,192
117081,199
117082,197
117083,197
117084,194
117085,204
117086,197
117087,197
117088,192
117089,196
117090,202
117091,196
117092,202
117093,197
117094,197
117095,199
117096,193
117097,194
117098,198
117099,197
117100,198
117101,193
117102,197
117103,205
117104,193
117105,193
117106,193
117107,197
117108,196
117109,196
117110,202
117111,195
117112,194
117113,193
117114,205
117115,196
117116,197
117117,197
117118,196
117119,199
117120,185
117121,199
117122,192
117123,196
117124,197
117125,193
117126,195
117127,201
117128,200
117129,202
117130,202
117131,196
117132,199
117133,197
117134,196
117135,200
117136,199
117137,187
117138,203
117139,199
117140,191
117141,200
117142,197
117143,194
117144,195
117145,198
117146,198
117147,201
117148,199
117149,196
117150,199
117151,201
117152,196
117153,196
117154,196
117155,197
117156,194
117157,198
117158,223
117159,196
117160,191
117161,195
117162,200
117163,195
117164,195
117165,195
117166,198
117167,198
117168,200
117169,206
117170,199
117171,193
117172,196
117173,196
117174,197
117175,199
117176,202
117177,193
117178,194
117179,197
117180,202
117181,199
117182,195
117183,197
117184,198
117185,200
117186,204
117187,199
117188,201
117189,196
117190,196
117191,199
117192,198
117193,201
117194,197
117195,194
117196,193
117197,199
117198,204
117199,200
117200,198
117201,197
117202,200
117203,199
117204,196
117205,192
117206,196
117207,200
117208,197
117209,199
117210,194
117211,197
117212,172
117213,196
117214,197
117215,197
117216,197
117217,198
117218,197
117219,196
117220,200
117221,193
117222,202
117223,193
117224,198
117225,194
117226,198
117227,204
117228,198
117229,197
117230,197
117231,198
117232,197
117233,194
117234,196
117235,196
117236,202
117237,199
117238,196
117239,197
117240,199
117241,198
117242,195
117243,196
117244,193
117245,197
117246,196
117247,192
117248,201
117249,195
117250,198
117251,197
117252,194
117253,200
117254,197
117255,197
117256,193
117257,198
117258,196
117259,183
117260,198
117261,203
117262,198
117263,199
117264,195
117265,188
117266,197
117267,201
117268,179
117269,204
117270,192
117271,194
117272,198
117273,190
117274,198
117275,200
117276,193
117277,197
117278,200
117279,201
117280,196
117281,198
117282,199
117283,196
117284,198
117285,198
117286,204
117287,194
117288,206
117289,200
117290,200
117291,197
117292,193
117293,196
117294,196
117295,197
117296,193
117297,201
117298,207
117299,193
117300,197
117301,197
117302,199
117303,196
117304,195
117305,196
117306,197
117307,198
117308,195
117309,197
117310,198
117311,200
117312,200
117313,198
117314,194
117315,196
117316,196
117317,203
117318,198
117319,197
117320,198
117321,194
117322,198
117323,200
117324,197
117325,196
117326,197
117327,202
117328,194
117329,198
117330,201
117331,198
117332,197
117333,196
117334,200
117335,193
117336,201
117337,202
117338,194
117339,195
117340,200
117341,195
117342,195
117343,196
117344,197
117345,198
117346,197
117347,198
117348,199
117349,198
117350,198
117351,196
117352,198
117353,202
117354,196
117355,197
117356,194
117357,206
117358,196
117359,199
117360,198
117361,198
117362,200
117363,197
117364,199
117365,202
117366,198
117367,198
117368,200
117369,190
117370,201
117371,195
117372,201
117373,196
117374,196
117375,193
117376,200
117377,204
117378,193
117379,196
117380,197
117381,202
117382,200
117383,201
117384,195
117385,198
117386,201
117387,200
117388,188
117389,196
117390,194
117391,197
117392,196
117393,194
117394,197
117395,195
117396,196
117397,195
117398,197
117399,200
117400,195
117401,202
117402,196
117403,194
117404,198
117405,196
117406,198
117407,193
117408,199
117409,194
117410,198
117411,199
117412,192
117413,197
117414,200
117415,194
117416,181
117417,200
117418,198
117419,200
117420,196
117421,202
117422,203
117423,197
117424,201
117425,192
117426,197
117427,201
117428,194
117429,198
117430,198
117431,192
117432,196
117433,190
117434,219
117435,202
117436,197
117437,197
117438,196
117439,189
117440,198
117441,197
117442,196
117443,198
117444,204
117445,202
117446,191
117447,201
117448,197
117449,198
117450,207
117451,196
117452,199
117453,196
117454,197
117455,196
117456,199
117457,197
117458,194
117459,196
117460,195
117461,197
117462,191
117463,194
117464,184
117465,197
117466,199
117467,196
117468,198
117469,196
117470,194
117471,200
117472,205
117473,193
117474,198
117475,202
117476,200
117477,202
117478,199
